,Model,Precision,Recall,F1-Score,Accuracy,Method,Prompt_Version,Query_Template,Examples_Method,Temperature
597,LLAMA3.1,0.698,0.6808,0.6837,0.7254,zero-shot,3,2,,0.2
598,LLAMA3.1,0.6685,0.7221,0.6836,0.7074,many-shot,2,2,1,0.2
599,PHI3_MEDIUM,0.6767,0.7367,0.6833,0.6982,few-shot,3,2,2,1.0
600,LLAMA3.1,0.6808,0.708,0.6833,0.7066,one-shot,1,1,1,0.0
601,GEMMA2-27B,0.686,0.6832,0.6832,0.7281,one-shot,2,1,2,1.0
602,GEMMA2-9B,0.691,0.7306,0.6828,0.7028,one-shot,1,2,1,0.0
603,QWEN2,0.6757,0.7117,0.6828,0.7131,one-shot,3,2,1,0.0
604,GEMMA2-2B,0.6795,0.6889,0.6826,0.7152,few-shot,3,2,2,0.2
605,PHI3.5_MINI,0.6698,0.7291,0.6825,0.7029,one-shot,3,2,2,0.2
606,GEMMA2-27B,0.687,0.7356,0.6825,0.7039,many-shot,2,2,1,0.2
607,LLAMA3.1,0.6803,0.7079,0.6825,0.7071,one-shot,1,1,1,0.2
608,QWEN2,0.7012,0.7172,0.6824,0.7131,few-shot,3,2,2,1.0
609,GEMMA2-27B,0.6862,0.6816,0.6823,0.7286,one-shot,2,1,2,0.2
610,GEMMA2-27B,0.6865,0.6808,0.6821,0.7297,one-shot,2,1,2,0.0
611,QWEN2,0.6723,0.7211,0.6821,0.7077,zero-shot,3,2,,0.5
612,GEMMA2-2B,0.6804,0.6866,0.682,0.7152,few-shot,3,2,2,0.0
613,GEMMA2-27B,0.6864,0.735,0.6819,0.7034,many-shot,2,2,1,0.0
614,LLAMA3.1,0.7303,0.6554,0.6818,0.726,many-shot,1,1,2,0.5
615,GEMMA2-27B,0.6861,0.6827,0.6818,0.7179,few-shot,2,1,2,0.0
616,GEMMA2-27B,0.6844,0.6798,0.6817,0.7448,one-shot,1,2,2,0.5
617,LLAMA3.1,0.6963,0.6785,0.6817,0.7249,zero-shot,3,2,,0.0
618,QWEN2,0.6724,0.7216,0.6816,0.707,zero-shot,3,2,,1.0
619,QWEN2,0.6673,0.7163,0.6812,0.7045,many-shot,2,1,2,1.0
620,QWEN2,0.6713,0.7216,0.6811,0.7061,zero-shot,3,2,,0.2
621,GEMMA2-2B,0.6787,0.6859,0.681,0.7157,few-shot,3,2,2,0.5
622,MISTRAL_NEMO,0.6688,0.7355,0.681,0.7007,many-shot,1,2,1,1.0
623,QWEN2,0.6711,0.722,0.6809,0.7055,zero-shot,3,2,,0.0
624,GEMMA2-27B,0.6854,0.7332,0.6808,0.7023,many-shot,2,2,1,0.5
625,GEMMA2-27B,0.6826,0.7119,0.6808,0.7045,few-shot,1,1,1,0.2
626,LLAMA3.1,0.6726,0.6907,0.6807,0.707,many-shot,1,1,1,0.0
627,QWEN2,0.6844,0.7247,0.6807,0.7034,many-shot,2,2,2,1.0
628,PHI3.5_MINI,0.6684,0.7262,0.6807,0.7015,one-shot,3,2,2,0.0
629,QWEN2,0.6836,0.6846,0.6805,0.7265,zero-shot,2,2,,0.2
630,LLAMA3,0.6711,0.7512,0.6804,0.6889,one-shot,3,2,1,1.0
631,GEMMA2-27B,0.6824,0.7115,0.6803,0.7039,few-shot,1,1,1,0.0
632,LLAMA3.1,0.6923,0.7261,0.6802,0.7007,many-shot,1,2,2,0.5
633,MISTRAL_NEMO,0.7011,0.6665,0.6802,0.7258,one-shot,1,1,1,0.5
634,QWEN2,0.6838,0.6834,0.6801,0.7265,zero-shot,2,2,,0.0
635,QWEN2,0.6692,0.7117,0.6801,0.7071,many-shot,1,1,2,1.0
636,GEMMA2-9B,0.6934,0.7228,0.68,0.7023,zero-shot,2,2,,0.5
637,QWEN2,0.7023,0.7171,0.68,0.712,few-shot,3,2,2,0.5
638,LLAMA3.2_3B,0.6798,0.7172,0.6799,0.7045,many-shot,3,2,2,0.2
639,LLAMA3.1,0.7219,0.6788,0.6797,0.7206,few-shot,3,2,2,1.0
640,QWEN2,0.7019,0.7155,0.6795,0.7104,few-shot,3,2,2,0.2
641,GEMMA2-2B,0.677,0.6851,0.6795,0.7113,many-shot,3,2,2,1.0
642,QWEN2,0.6664,0.7216,0.6795,0.7023,one-shot,2,1,1,0.0
643,GEMMA2-9B,0.6888,0.7385,0.6792,0.6948,one-shot,1,2,2,1.0
644,LLAMA3.1,0.6809,0.6812,0.6792,0.7012,few-shot,2,1,2,1.0
645,PHI3.5_MINI,0.667,0.7253,0.6791,0.6997,one-shot,3,2,2,0.5
646,QWEN2,0.6818,0.6828,0.679,0.7243,zero-shot,2,2,,1.0
647,GEMMA2-9B,0.6817,0.7158,0.679,0.6991,many-shot,2,1,1,0.2
648,PHI3.5_MINI,0.6696,0.692,0.6789,0.7159,many-shot,3,2,2,0.5
649,PHI3.5_MINI,0.6667,0.7251,0.6789,0.6987,one-shot,3,2,2,1.0
650,LLAMA3,0.6686,0.7491,0.6787,0.6857,one-shot,3,2,1,0.5
651,LLAMA3,0.6705,0.7065,0.6784,0.6812,many-shot,2,1,2,0.0
652,PHI3.5_MINI,0.6689,0.6921,0.6784,0.7162,many-shot,3,2,2,0.0
653,LLAMA3.1,0.6811,0.7224,0.6783,0.6996,many-shot,2,2,2,1.0
654,QWEN2,0.6851,0.7079,0.6783,0.7109,many-shot,2,1,1,1.0
655,QWEN2,0.6702,0.7082,0.678,0.7066,one-shot,3,2,1,0.5
656,GEMMA2-9B,0.6806,0.7145,0.678,0.6985,many-shot,2,1,1,0.0
657,QWEN2,0.6804,0.7125,0.6779,0.7055,few-shot,2,2,1,0.2
658,GEMMA2-27B,0.6807,0.7131,0.6779,0.7007,few-shot,1,1,1,1.0
659,LLAMA3,0.6691,0.7506,0.6774,0.6846,one-shot,3,2,1,0.0
660,PHI3.5_MINI,0.6743,0.7159,0.6773,0.7028,one-shot,3,2,1,0.0
661,QWEN2,0.6777,0.7181,0.6773,0.7023,few-shot,1,2,1,0.0
662,LLAMA3.2_3B,0.6758,0.7146,0.6772,0.7023,many-shot,3,2,2,0.0
663,PHI3.5_MINI,0.675,0.6924,0.6771,0.7092,few-shot,3,2,1,0.0
664,LLAMA3.2_3B,0.6763,0.7187,0.6771,0.7002,many-shot,3,2,2,0.5
665,QWEN2,0.6792,0.7204,0.677,0.7012,few-shot,1,2,1,1.0
666,MISTRAL_NEMO,0.7,0.6734,0.677,0.719,zero-shot,2,2,,0.0
667,QWEN2,0.6648,0.7221,0.677,0.6996,one-shot,2,1,1,0.5
668,PHI3.5_MINI,0.6744,0.7163,0.6768,0.7017,one-shot,3,2,1,0.5
669,GEMMA2-9B,0.6925,0.7189,0.6766,0.6996,zero-shot,2,2,,1.0
670,LLAMA3,0.6667,0.7473,0.6761,0.683,one-shot,3,2,1,0.2
671,MISTRAL_NEMO,0.6907,0.6795,0.6761,0.7134,zero-shot,2,2,,1.0
672,PHI3.5_MINI,0.6671,0.689,0.6761,0.7139,many-shot,3,2,2,0.2
673,QWEN2,0.6868,0.7429,0.676,0.6932,many-shot,3,2,1,0.2
674,GEMMA2-9B,0.6997,0.6627,0.6759,0.6969,few-shot,2,1,2,1.0
675,PHI3.5_MINI,0.6729,0.692,0.6758,0.7083,few-shot,3,2,1,0.2
676,PHI3.5_MINI,0.6735,0.7156,0.6758,0.702,one-shot,3,2,1,0.2
677,QWEN2,0.6866,0.7434,0.6758,0.6926,many-shot,3,2,1,0.0
678,GEMMA2-27B,0.6796,0.675,0.6757,0.7233,one-shot,2,1,2,0.5
679,PHI3.5_MINI,0.6731,0.6915,0.6757,0.7089,few-shot,3,2,1,0.5
680,GEMMA2-27B,0.681,0.6755,0.6757,0.7147,few-shot,2,1,2,1.0
681,PHI3.5_MINI,0.6717,0.7155,0.6756,0.701,one-shot,3,2,1,1.0
682,QWEN2,0.6683,0.7237,0.6756,0.6991,one-shot,1,1,1,0.0
683,LLAMA3,0.6666,0.7046,0.6753,0.6778,many-shot,2,1,2,0.2
684,MISTRAL_NEMO,0.6958,0.6735,0.6753,0.7157,zero-shot,2,2,,0.2
685,QWEN2,0.6789,0.7219,0.6753,0.6991,one-shot,2,2,2,0.0
686,QWEN2,0.6629,0.7176,0.6752,0.698,one-shot,2,1,1,0.2
687,QWEN2,0.6799,0.7224,0.6752,0.6991,one-shot,2,2,2,0.2
688,GEMMA2-9B,0.6752,0.7129,0.6751,0.6943,many-shot,2,1,1,0.5
689,GEMMA2-27B,0.6812,0.7287,0.6749,0.6953,many-shot,2,2,1,1.0
690,QWEN2,0.6676,0.7073,0.6748,0.7034,one-shot,3,2,1,1.0
691,QWEN2,0.679,0.7229,0.6746,0.6975,one-shot,2,2,2,0.5
692,QWEN2,0.6751,0.7115,0.6745,0.7002,few-shot,2,2,1,0.5
693,QWEN2,0.676,0.7102,0.6744,0.7012,few-shot,2,2,1,1.0
694,GEMMA2-9B,0.6828,0.7228,0.6743,0.6937,one-shot,1,2,1,1.0
695,QWEN2,0.6819,0.7353,0.6743,0.6905,many-shot,2,2,1,0.0
696,QWEN2,0.6747,0.7172,0.6743,0.698,few-shot,1,2,1,0.2
697,GEMMA2-9B,0.6882,0.7372,0.6741,0.69,zero-shot,1,2,,0.5
698,PHI3.5_MINI,0.6642,0.6891,0.674,0.7106,many-shot,3,2,2,1.0
699,QWEN2,0.6788,0.723,0.6738,0.6969,one-shot,2,2,2,1.0
700,QWEN2,0.6848,0.74,0.6737,0.691,many-shot,3,2,1,0.5
701,GEMMA2-9B,0.6896,0.7355,0.6736,0.6894,zero-shot,1,2,,1.0
702,GEMMA2-9B,0.6878,0.7359,0.6736,0.6894,zero-shot,1,2,,0.0
703,QWEN2,0.6659,0.7238,0.6733,0.6959,one-shot,1,1,1,1.0
704,LLAMA3.1,0.6821,0.6703,0.6732,0.7134,zero-shot,3,2,,0.5
705,LLAMA3.1,0.7093,0.6511,0.6731,0.7117,many-shot,1,1,2,1.0
706,PHI3.5_MINI,0.6693,0.689,0.6728,0.7063,few-shot,3,2,1,1.0
707,GEMMA2-9B,0.7697,0.6408,0.6727,0.7204,many-shot,1,1,2,0.5
708,QWEN2,0.6759,0.6759,0.6726,0.7206,zero-shot,2,2,,0.5
709,GEMMA2-27B,0.6691,0.7215,0.6723,0.698,many-shot,1,2,1,0.0
710,QWEN2,0.675,0.7065,0.6721,0.6996,few-shot,2,2,1,0.0
711,LLAMA3.2_3B,0.6721,0.7092,0.6717,0.698,many-shot,3,2,2,1.0
712,QWEN2,0.6822,0.6987,0.6716,0.7039,few-shot,2,2,2,1.0
713,QWEN2,0.6792,0.7317,0.6716,0.6883,many-shot,2,2,1,0.2
714,GEMMA2-9B,0.6858,0.7339,0.6715,0.6873,zero-shot,1,2,,0.2
715,QWEN2,0.6775,0.7195,0.6715,0.6953,one-shot,1,2,2,0.0
716,LLAMA3,0.6539,0.7102,0.6713,0.683,few-shot,2,1,2,0.5
717,LLAMA3.1,0.6582,0.7006,0.6711,0.7046,many-shot,1,2,1,0.0
718,QWEN2,0.6781,0.7218,0.671,0.6937,one-shot,1,2,2,1.0
719,QWEN2,0.6771,0.7188,0.6704,0.6916,many-shot,1,2,2,1.0
720,QWEN2,0.6642,0.7188,0.6704,0.6943,one-shot,1,1,1,0.2
721,QWEN2,0.6757,0.719,0.6704,0.6937,one-shot,1,2,2,0.2
722,MISTRAL_NEMO,0.6597,0.6878,0.6704,0.6888,many-shot,3,2,1,1.0
723,GEMMA2-27B,0.6663,0.7183,0.6704,0.6964,many-shot,1,2,1,0.5
724,QWEN2,0.6715,0.7128,0.6702,0.6953,many-shot,1,1,1,1.0
725,GEMMA2-9B,0.6716,0.7112,0.6699,0.6883,many-shot,2,1,1,1.0
726,QWEN2,0.675,0.7157,0.6695,0.6943,one-shot,1,2,2,0.5
727,LLAMA3,0.6557,0.704,0.6695,0.6862,many-shot,1,1,2,1.0
728,LLAMA3.1,0.6553,0.7327,0.6694,0.6792,few-shot,2,1,1,0.2
729,GEMMA2-27B,0.674,0.6662,0.6692,0.7319,one-shot,2,2,2,0.5
730,QWEN2,0.6777,0.7311,0.6689,0.6846,many-shot,2,2,1,0.5
731,QWEN2,0.662,0.7175,0.6687,0.6921,one-shot,1,1,1,0.5
732,GEMMA2-27B,0.6664,0.7155,0.6687,0.6956,many-shot,1,2,1,1.0
733,MISTRAL_NEMO,0.6847,0.6792,0.6683,0.7053,few-shot,1,1,2,1.0
734,LLAMA3.1,0.7021,0.6593,0.6683,0.719,zero-shot,1,2,,0.0
735,MISTRAL_NEMO,0.6697,0.7095,0.6683,0.6941,one-shot,1,2,2,1.0
736,QWEN2,0.6702,0.711,0.668,0.6926,few-shot,1,2,1,0.5
737,MISTRAL_NEMO,0.6646,0.6919,0.668,0.6953,zero-shot,1,1,,0.0
738,GEMMA2-27B,0.672,0.6652,0.6678,0.7319,one-shot,2,2,2,1.0
739,LLAMA3.1,0.6531,0.7308,0.6676,0.6765,few-shot,2,1,1,0.0
740,GEMMA2-27B,0.6645,0.7166,0.6675,0.693,many-shot,1,2,1,0.2
741,LLAMA3.1,0.6725,0.6818,0.6675,0.705,one-shot,3,2,1,0.2
742,GEMMA2-2B,0.6576,0.7205,0.6669,0.6857,few-shot,1,2,2,0.5
743,QWEN2,0.6698,0.7307,0.6667,0.684,few-shot,3,2,1,0.2
744,LLAMA3.1,0.6734,0.6789,0.6664,0.7061,one-shot,3,2,1,0.0
745,LLAMA3.1,0.6546,0.6909,0.6662,0.7013,many-shot,1,2,1,0.2
746,LLAMA3.1,0.6555,0.741,0.666,0.6738,few-shot,1,1,1,0.0
747,GEMMA2-27B,0.6709,0.6626,0.6658,0.7303,one-shot,2,2,2,0.2
748,QWEN2,0.6747,0.7062,0.6656,0.6926,one-shot,1,2,1,0.2
749,PHI3.5_MINI,0.6515,0.7028,0.6656,0.69,few-shot,3,2,2,0.5
750,LLAMA3.1,0.6555,0.7386,0.6656,0.6749,few-shot,1,1,1,0.2
751,LLAMA3,0.6593,0.6913,0.6655,0.6665,many-shot,2,1,2,0.5
752,QWEN2,0.6746,0.7073,0.6653,0.6921,one-shot,1,2,1,1.0
753,QWEN2,0.6767,0.7306,0.6651,0.6797,many-shot,2,2,1,1.0
754,GEMMA2-27B,0.6705,0.6616,0.6651,0.7303,one-shot,2,2,2,0.0
755,GEMMA2-2B,0.6561,0.7162,0.6651,0.6851,few-shot,1,2,2,0.2
756,QWEN2,0.6693,0.7289,0.665,0.6824,few-shot,3,2,1,0.5
757,MISTRAL_NEMO,0.6784,0.6772,0.6649,0.6982,zero-shot,1,2,,0.2
758,QWEN2,0.6736,0.7056,0.6648,0.6916,one-shot,1,2,1,0.0
759,PHI3.5_MINI,0.6509,0.701,0.6647,0.6902,few-shot,3,2,2,0.2
760,LLAMA3.1,0.7012,0.6537,0.6644,0.7179,zero-shot,1,2,,0.2
761,QWEN2,0.6686,0.7276,0.6644,0.6824,few-shot,3,2,1,0.0
762,PHI3.5_MINI,0.6503,0.6993,0.6642,0.6896,few-shot,3,2,2,0.0
763,LLAMA3.2_3B,0.6549,0.6816,0.6642,0.6956,few-shot,3,2,1,0.0
764,GEMMA2-2B,0.6543,0.7139,0.6642,0.6846,few-shot,1,2,2,0.0
765,LLAMA3.1,0.6505,0.7006,0.6642,0.6934,many-shot,2,2,1,0.5
766,LLAMA3.1,0.6526,0.6904,0.6641,0.6824,one-shot,2,1,1,0.0
767,LLAMA3,0.6527,0.7372,0.664,0.6717,one-shot,1,1,1,0.0
768,LLAMA3.1,0.7018,0.6416,0.6634,0.712,many-shot,2,1,2,0.5
769,LLAMA3.1,0.6939,0.6468,0.6632,0.6953,one-shot,1,1,2,0.2
770,QWEN2,0.6801,0.7317,0.6632,0.6765,many-shot,1,2,1,0.0
771,GEMMA2-2B,0.6616,0.6676,0.6631,0.7034,few-shot,3,2,2,1.0
772,QWEN2,0.6736,0.7041,0.663,0.69,one-shot,1,2,1,0.5
773,LLAMA3.1,0.6944,0.6463,0.663,0.6943,one-shot,1,1,2,0.0
774,MISTRAL_NEMO,0.6761,0.6755,0.663,0.6962,zero-shot,1,2,,0.0
775,PHI3.5_MINI,0.6491,0.6983,0.6629,0.6882,few-shot,3,2,2,1.0
776,QWEN2,0.6796,0.7313,0.6627,0.676,many-shot,1,2,1,0.2
777,LLAMA3.1,0.6781,0.7288,0.6627,0.676,few-shot,1,2,2,0.0
778,LLAMA3.2_3B,0.6474,0.7033,0.6625,0.6819,one-shot,3,2,1,0.2
779,LLAMA3.1,0.6757,0.7272,0.6616,0.6744,few-shot,1,2,2,0.2
780,MISTRAL_NEMO,0.6809,0.6619,0.6614,0.7028,zero-shot,2,2,,0.5
781,MISTRAL_NEMO,0.6571,0.6799,0.6612,0.6855,many-shot,1,1,2,1.0
782,LLAMA3.1,0.6756,0.7347,0.6611,0.6711,few-shot,2,2,2,0.5
783,QWEN2,0.6793,0.7271,0.6611,0.6749,many-shot,1,2,1,0.5
784,LLAMA3.1,0.6604,0.6816,0.6611,0.6946,one-shot,3,2,1,0.5
785,QWEN2,0.6647,0.7267,0.6609,0.6776,few-shot,3,2,1,1.0
786,LLAMA3,0.6468,0.7084,0.6607,0.6754,few-shot,1,1,2,1.0
787,LLAMA3.2_3B,0.6451,0.7014,0.6607,0.6787,one-shot,3,2,1,0.0
788,LLAMA3.1,0.6885,0.6523,0.6603,0.7098,zero-shot,1,2,,0.5
789,MISTRAL_NEMO,0.6577,0.6856,0.6602,0.6883,zero-shot,1,1,,0.2
790,LLAMA3.1,0.6779,0.7029,0.66,0.6812,many-shot,1,2,2,1.0
791,QWEN2,0.6736,0.7263,0.6598,0.6771,many-shot,3,2,1,1.0
792,QWEN2,0.6518,0.7039,0.6596,0.683,one-shot,1,1,2,1.0
793,LLAMA3.1,0.6509,0.6708,0.6596,0.6869,many-shot,1,1,1,0.2
794,QWEN2,0.6721,0.7025,0.6593,0.6857,one-shot,2,2,1,0.0
795,LLAMA3.1,0.6712,0.733,0.6591,0.6695,few-shot,2,2,2,0.2
796,QWEN2,0.6484,0.6983,0.6588,0.6819,one-shot,1,1,2,0.0
797,LLAMA3.1,0.6471,0.684,0.6588,0.6765,one-shot,2,1,1,0.2
798,QWEN2,0.6473,0.7058,0.6588,0.6796,one-shot,2,1,1,1.0
799,QWEN2,0.652,0.6937,0.6587,0.684,one-shot,2,1,2,0.0
800,GEMMA2-9B,0.7466,0.6306,0.6585,0.706,many-shot,1,1,2,1.0
801,QWEN2,0.6727,0.7035,0.6585,0.6835,one-shot,2,2,1,0.5
802,GEMMA2-2B,0.6465,0.7035,0.6585,0.6824,few-shot,2,2,2,0.0
803,MISTRAL_NEMO,0.6658,0.6747,0.6584,0.6912,zero-shot,1,2,,0.5
804,LLAMA3,0.6473,0.7308,0.6584,0.6663,one-shot,1,1,1,0.2
805,GEMMA2-27B,0.6627,0.6909,0.6583,0.6824,few-shot,2,1,1,0.2
806,MISTRAL_NEMO,0.6877,0.6553,0.6582,0.7034,few-shot,2,1,2,1.0
807,MISTRAL_NEMO,0.6481,0.6709,0.658,0.6727,many-shot,1,1,1,1.0
808,GEMMA2-27B,0.6613,0.691,0.6577,0.6819,few-shot,2,1,1,0.5
809,LLAMA3.2_3B,0.65,0.6708,0.6575,0.6904,few-shot,3,2,1,0.2
810,MISTRAL_NEMO,0.6827,0.6464,0.6575,0.7066,one-shot,2,1,1,1.0
811,LLAMA3.1,0.6715,0.7309,0.6574,0.6679,few-shot,2,2,2,0.0
812,GEMMA2-27B,0.6614,0.6883,0.6568,0.6814,few-shot,2,1,1,0.0
813,QWEN2,0.6498,0.6977,0.6567,0.6808,one-shot,2,1,2,0.5
814,GEMMA2-9B,0.7906,0.6188,0.6566,0.712,many-shot,2,1,2,0.0
815,GEMMA2-2B,0.6442,0.7024,0.6565,0.6792,few-shot,2,2,2,0.2
816,LLAMA3.1,0.6914,0.6364,0.6565,0.7007,many-shot,2,1,2,1.0
817,QWEN2,0.6701,0.6993,0.6563,0.6824,one-shot,2,2,1,0.2
818,GEMMA2-9B,0.663,0.7036,0.6563,0.6744,many-shot,1,1,1,0.5
819,QWEN2,0.6496,0.6926,0.6563,0.6819,one-shot,2,1,2,0.2
820,GEMMA2-2B,0.6666,0.6575,0.6562,0.6946,zero-shot,1,2,,0.0
821,PHI3_MEDIUM,0.6849,0.6391,0.6557,0.7179,many-shot,1,1,2,0.0
822,PHI3_MEDIUM,0.6849,0.6391,0.6557,0.7179,many-shot,2,1,2,0.0
823,MISTRAL_NEMO,0.7297,0.6264,0.6556,0.7303,zero-shot,3,2,,0.2
824,MISTRAL_NEMO,0.7318,0.6256,0.6555,0.7292,zero-shot,3,2,,0.0
825,GEMMA2-9B,0.6626,0.704,0.6549,0.672,many-shot,1,1,1,0.0
826,QWEN2,0.6717,0.6978,0.6549,0.6819,one-shot,2,2,1,1.0
827,QWEN2,0.6732,0.723,0.6548,0.6668,many-shot,1,2,1,1.0
828,LLAMA3,0.6445,0.7293,0.6547,0.662,one-shot,1,1,1,0.5
829,GEMMA2-2B,0.6623,0.6558,0.6544,0.6919,zero-shot,1,2,,0.5
830,GEMMA2-2B,0.6669,0.6548,0.6542,0.693,zero-shot,1,2,,0.2
831,QWEN2,0.6455,0.6928,0.6542,0.6787,one-shot,1,1,2,0.2
832,GEMMA2-9B,0.6606,0.7038,0.6535,0.6704,many-shot,1,1,1,0.2
833,GEMMA2-27B,0.6562,0.6861,0.6532,0.6771,few-shot,2,1,1,1.0
834,QWEN2,0.644,0.6925,0.6531,0.676,one-shot,1,1,2,0.5
835,GEMMA2-2B,0.6509,0.6766,0.653,0.6767,many-shot,3,2,1,0.2
836,GEMMA2-2B,0.6508,0.6751,0.6526,0.6772,many-shot,3,2,1,0.0
837,LLAMA3.1,0.6707,0.7187,0.6526,0.6647,few-shot,1,2,2,0.5
838,LLAMA3.2_3B,0.655,0.7153,0.6526,0.6685,few-shot,3,2,2,0.2
839,GEMMA2-2B,0.6407,0.6987,0.6524,0.6754,few-shot,2,2,2,0.5
840,LLAMA3.2_3B,0.6374,0.6927,0.6523,0.6711,one-shot,3,2,1,0.5
841,LLAMA3.2_3B,0.6757,0.6401,0.6522,0.708,many-shot,3,2,1,0.0
842,GEMMA2-9B,0.7869,0.6145,0.6521,0.7088,many-shot,2,1,2,0.2
843,LLAMA3.1,0.6406,0.6786,0.652,0.6717,one-shot,2,1,1,0.5
844,GEMMA2-2B,0.644,0.6998,0.6512,0.6733,few-shot,1,2,2,1.0
845,QWEN2,0.6531,0.7151,0.6509,0.6679,zero-shot,2,1,,0.5
846,GEMMA2-9B,0.7713,0.615,0.6505,0.7071,many-shot,2,1,2,0.5
847,PHI3.5_MINI,0.6851,0.6491,0.6504,0.698,zero-shot,3,2,,1.0
848,GEMMA2-9B,0.6575,0.7044,0.6501,0.6651,many-shot,1,1,1,1.0
849,QWEN2,0.6522,0.7123,0.65,0.6679,zero-shot,2,1,,0.2
850,PHI3.5_MINI,0.6838,0.6491,0.6499,0.698,zero-shot,3,2,,0.5
851,GEMMA2-2B,0.6466,0.6781,0.6496,0.6787,many-shot,2,2,2,0.0
852,LLAMA3,0.6553,0.6922,0.6496,0.6491,one-shot,2,1,2,0.5
853,LLAMA3.2_3B,0.6537,0.7141,0.6496,0.6647,few-shot,3,2,2,0.0
854,GEMMA2-27B,0.6573,0.7138,0.6495,0.6631,many-shot,2,1,1,0.0
855,LLAMA3.2_3B,0.672,0.6387,0.6495,0.7053,many-shot,3,2,1,0.2
856,PHI3.5_MINI,0.6333,0.6969,0.6495,0.6619,one-shot,1,1,2,0.0
857,QWEN2,0.6515,0.7122,0.6495,0.6674,zero-shot,2,1,,0.0
858,LLAMA3,0.6574,0.6913,0.6494,0.6448,one-shot,2,1,2,0.0
859,LLAMA3,0.6565,0.6502,0.6493,0.6985,zero-shot,3,2,,0.2
860,GEMMA2-2B,0.6457,0.679,0.6491,0.6771,many-shot,2,2,2,0.2
861,LLAMA3,0.6309,0.691,0.649,0.6582,few-shot,2,1,2,1.0
862,MISTRAL_NEMO,0.6416,0.6804,0.649,0.6728,zero-shot,1,1,,0.5
863,GEMMA2-27B,0.6566,0.7139,0.6488,0.662,many-shot,2,1,1,0.2
864,QWEN2,0.6557,0.7184,0.6487,0.6642,zero-shot,1,1,,0.2
865,LLAMA3.1,0.6807,0.638,0.6486,0.7283,many-shot,3,2,1,0.2
866,PHI3.5_MINI,0.6322,0.6949,0.6485,0.6614,one-shot,1,1,2,0.2
867,PHI3.5_MINI,0.6321,0.6941,0.6485,0.6619,one-shot,1,1,2,0.5
868,LLAMA3,0.6581,0.743,0.6484,0.6507,one-shot,3,2,2,0.0
869,LLAMA3,0.6576,0.6483,0.6484,0.6996,zero-shot,3,2,,0.0
870,GEMMA2-27B,0.6558,0.7137,0.6484,0.6615,many-shot,2,1,1,1.0
871,QWEN2,0.655,0.7178,0.6483,0.6642,zero-shot,1,1,,0.5
872,QWEN2,0.6547,0.7175,0.6483,0.6642,zero-shot,1,1,,0.0
873,LLAMA3.1,0.6432,0.6795,0.6479,0.6717,one-shot,1,1,1,0.5
874,PHI3.5_MINI,0.6825,0.6474,0.6478,0.6959,zero-shot,3,2,,0.2
875,LLAMA3,0.6354,0.711,0.6478,0.648,one-shot,2,1,1,0.0
876,LLAMA3.2_3B,0.6383,0.6667,0.6476,0.677,few-shot,3,2,1,0.5
877,PHI3.5_MINI,0.6822,0.6466,0.6472,0.6953,zero-shot,3,2,,0.0
878,GEMMA2-2B,0.6447,0.669,0.6472,0.6739,many-shot,3,2,1,0.5
879,LLAMA3,0.6538,0.6885,0.6471,0.6421,one-shot,2,1,2,0.2
880,GEMMA2-27B,0.6615,0.7168,0.6469,0.6572,many-shot,1,1,1,0.0
881,PHI3.5_MINI,0.655,0.7096,0.6467,0.6656,one-shot,1,2,2,1.0
882,LLAMA3.1,0.669,0.6378,0.6467,0.7228,many-shot,3,2,1,0.5
883,GEMMA2-2B,0.6359,0.6941,0.6464,0.6695,few-shot,2,2,2,1.0
884,LLAMA3,0.6569,0.7415,0.6464,0.6491,one-shot,3,2,2,0.2
885,LLAMA3.2_3B,0.644,0.7139,0.6462,0.6599,one-shot,3,2,2,0.5
886,GEMMA2-27B,0.6549,0.7111,0.6458,0.6588,many-shot,2,1,1,0.5
887,LLAMA3.2_3B,0.6421,0.7084,0.6456,0.6609,one-shot,3,2,2,0.0
888,LLAMA3.1,0.6762,0.6307,0.6455,0.6803,one-shot,1,1,2,0.5
889,GEMMA2-27B,0.659,0.7139,0.6455,0.6566,many-shot,1,1,1,1.0
890,LLAMA3.1,0.6557,0.6375,0.6453,0.6738,zero-shot,2,1,,0.0
891,LLAMA3.1,0.6355,0.7191,0.6451,0.6525,few-shot,1,1,1,0.5
892,LLAMA3.2_3B,0.6488,0.7084,0.645,0.6604,few-shot,3,2,2,0.5
893,PHI3_MEDIUM,0.6415,0.6538,0.6449,0.7018,few-shot,2,1,2,0.0
894,PHI3_MEDIUM,0.6415,0.6538,0.6449,0.7018,few-shot,1,1,2,0.0
895,LLAMA3.1,0.6433,0.6647,0.6447,0.6774,one-shot,3,2,1,1.0
896,LLAMA3.2_3B,0.642,0.7079,0.6446,0.6599,one-shot,3,2,2,0.2
897,GEMMA2-27B,0.6605,0.7134,0.6443,0.6545,many-shot,1,1,1,0.2
898,LLAMA3,0.6321,0.7105,0.6443,0.6443,one-shot,2,1,1,0.2
899,LLAMA3,0.6527,0.6435,0.6441,0.6943,zero-shot,3,2,,0.5
900,PHI3_MEDIUM,0.6687,0.6296,0.6441,0.7054,many-shot,2,1,2,0.2
901,LLAMA3.1,0.6487,0.6998,0.6439,0.6615,one-shot,2,2,1,0.0
902,QWEN2,0.6357,0.6831,0.6436,0.667,one-shot,2,1,2,1.0
